87,"Kelowna International Airport","Kelowna","Canada","YLW","CYLW",49.9561,-119.3780,1421,-8,"A"
88,"Mayo Airport","Mayo","Canada","YMA","CYMA",63.6164,-135.8680,1653,-8,"A"
89,"Moose Jaw Air Vice Marshal C. M. McEwen Airport","Moose Jaw","Canada","YMJ","CYMJ",50.3303,-105.5590,1892,-6,"N"
90,"Fort McMurray Airport","Fort Mcmurray","Canada","YMM","CYMM",56.6533,-111.2220,1211,-7,"A"
91,"Moosonee Airport","Moosonee","Canada","YMO","CYMO",51.2911,-80.6078,30,-5,"A"
92,"Maniwaki Airport","Maniwaki","Canada","YMW","CYMW",46.2728,-75.9906,656,-5,"A"
93,"Montreal International (Mirabel) Airport","Montreal","Canada","YMX","CYMX",45.6795,-74.0387,270,-5,"A"
94,"Natashquan Airport","Natashquan","Canada","YNA","CYNA",50.1900,-61.7892,39,-5,"A"
95,"Ottawa / Gatineau Airport","Gatineau","Canada","YND","CYND",45.5217,-75.5636,211,-5,"A"
96,"Matagami Airport","Matagami","Canada","YNM","CYNM",49.7617,-77.8028,918,-5,"A"
97,"Old Crow Airport","Old Crow","Canada","YOC","CYOC",67.5706,-139.8390,824,-8,"A"
98,"CFB Cold Lake","Cold Lake","Canada","YOD","CYOD",54.4050,-110.2790,1775,-7,"A"
99,"High Level Airport","High Level","Canada","YOJ","CYOJ",58.6214,-117.1650,1110,-7,"A"
100,"Ottawa Macdonald-Cartier International Airport","Ottawa","Canada","YOW","CYOW",45.3225,-75.6692,374,-5,"A"
101,"Prince Albert Glass Field","Prince Albert","Canada","YPA","CYPA",53.2142,-105.6730,1405,-6,"N"
102,"Peace River Airport","Peace River","Canada","YPE","CYPE",56.2269,-117.4470,1873,-7,"A"
103,"Southport Airport","Portage-la-prairie","Canada","YPG","CYPG",49.9031,-98.2738,885,-6,"A"
104,"Pitt Meadows Airport","Pitt Meadows","Canada","","CYPK",49.2161,-122.7100,11,-8,"A"
105,"Pickle Lake Airport","Pickle Lake","Canada","YPL","CYPL",51.4464,-90.2142,1267,-5,"A"
106,"Port Menier Airport","Port Menier","Canada","YPN","CYPN",49.8364,-64.2886,167,-5,"A"
107,"Peterborough Airport","Peterborough","Canada","YPQ","CYPQ",44.2300,-78.3633,628,-5,"A"
108,"Prince Rupert Airport","Prince Pupert","Canada","YPR","CYPR",54.2861,-130.4450,116,-8,"A"
109,"Fort Chipewyan Airport","Fort Chipewyan","Canada","YPY","CYPY",58.7672,-111.1170,761,-7,"A"
110,"Muskoka Airport","Muskoka","Canada","YQA","CYQA",44.9747,-79.3033,925,-5,"A"
111,"Quebec Jean Lesage International Airport","Quebec","Canada","YQB","CYQB",46.7911,-71.3933,244,-5,"A"
112,"Red Deer Regional Airport","Red Deer Industrial","Canada","YQF","CYQF",52.1822,-113.8940,2968,-7,"A"
113,"Windsor Airport","Windsor","Canada","YQG","CYQG",42.2756,-82.9556,622,-5,"A"
114,"Watson Lake Airport","Watson Lake","Canada","YQH","CYQH",60.1164,-128.8220,2255,-8,"A"
115,"Kenora Airport","Kenora","Canada","YQK","CYQK",49.7883,-94.3631,1332,-6,"A"
116,"Lethbridge County Airport","Lethbridge","Canada","YQL","CYQL",49.6303,-112.8000,3048,-7,"A"
117,"Greater Moncton International Airport","Moncton","Canada","YQM","CYQM",46.1122,-64.6786,232,-4,"A"
119,"Comox Airport","Comox","Canada","YQQ","CYQQ",49.7108,-124.8870,84,-8,"A"
120,"Regina International Airport","Regina","Canada","YQR","CYQR",50.4319,-104.6660,1894,-6,"N"
121,"Thunder Bay Airport","Thunder Bay","Canada","YQT","CYQT",48.3719,-89.3239,653,-5,"A"
122,"Grande Prairie Airport","Grande Prairie","Canada","YQU","CYQU",55.1797,-118.8850,2195,-7,"A"
123,"Yorkton Municipal Airport","Yorkton","Canada","YQV","CYQV",51.2647,-102.4620,1635,-6,"N"
